**********************
PowerShell transcript start
Start time: 20260307115835
Username: MITCH-GAMING\David
RunAs User: MITCH-GAMING\David
Configuration Name: 
Machine: MITCH-GAMING (Microsoft Windows NT 10.0.26200.0)
Host Application: C:\Program Files\WindowsApps\Microsoft.PowerShell_7.5.4.0_x64__8wekyb3d8bbwe\pwsh.dll
Process ID: 22216
PSVersion: 7.5.4
PSEdition: Core
GitCommitId: 7.5.4
OS: Microsoft Windows 10.0.26200
Platform: Win32NT
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1, 6.0, 7.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
WSManStackVersion: 3.0
**********************
Transcript started, output file is C:\Users\David\Documents\PowerShell_transcript.MITCH-GAMING.x1ai7r+b.20260307115835.txt
PS C:\Users\David> Get-Process ?
PS C:\Users\David> Get-Process /?
PS C:\Users\David> Get-Process -Name
>> TerminatingError(Get-Process): "Missing an argument for parameter 'Name'. Specify a parameter of type 'System.String[]' and try again."
Get-Process: Missing an argument for parameter 'Name'. Specify a parameter of type 'System.String[]' and try again.
Get-Process: Missing an argument for parameter 'Name'. Specify a parameter of type 'System.String[]' and try again.
PS C:\Users\David> Get-Help Get-Process

NAME
    Get-Process

SYNOPSIS
    Gets the processes that are running on the local computer.


SYNTAX
    Get-Process [-FileVersionInfo <System.Management.Automation.SwitchParameter>] [-Module
    <System.Management.Automation.SwitchParameter>] [[-Name] <System.String[]>] [<CommonParameters>]

    Get-Process -IncludeUserName <System.Management.Automation.SwitchParameter> [[-Name] <System.String[]>] [<CommonParameters>]

    Get-Process [-FileVersionInfo <System.Management.Automation.SwitchParameter>] -Id <System.Int32[]> [-Module
    <System.Management.Automation.SwitchParameter>] [<CommonParameters>]

    Get-Process -Id <System.Int32[]> -IncludeUserName <System.Management.Automation.SwitchParameter> [<CommonParameters>]

    Get-Process [-FileVersionInfo <System.Management.Automation.SwitchParameter>] -InputObject <System.Diagnostics.Process[]> [-Module
    <System.Management.Automation.SwitchParameter>] [<CommonParameters>]

    Get-Process -IncludeUserName <System.Management.Automation.SwitchParameter> -InputObject <System.Diagnostics.Process[]>
    [<CommonParameters>]


DESCRIPTION
    The `Get-Process` cmdlet gets the processes on a local computer.

    Without parameters, this cmdlet gets all processes on the local computer. You can also specify a specific process by process name
    or process ID (PID), or by piping a **System.Diagnostics.Process** object to this cmdlet.

    By default, this cmdlet returns a **Process** object that has detailed information about the process and supports methods that let
    you control it. With parameters, you can change the type of information returned by this cmdlet.

    - **Module**: Retrieve information for each module loaded into the process. - **FileVersionInfo**: Retrieve file version
    information for the main module of the process.

    > [!NOTE] > A module is an executable file or a dynamic link library (DLL) loaded into a process. A process > has one or more
    modules. The main module is the module used to initially start the process. For > more information, see [ProcessModule
    Class](/dotnet/api/system.diagnostics.processmodule).


RELATED LINKS
    Online Version
    https://learn.microsoft.com/powershell/module/microsoft.powershell.management/get-process?view=powershell-7.5&WT.mc_id=ps-gethelp
    Debug-Process Debug-Process.md
    Get-Process Get-Process.md
    Start-Process Start-Process.md
    Stop-Process Stop-Process.md
    Wait-Process Wait-Process.md
    Where-Object ../Microsoft.PowerShell.Core/Where-Object.md

REMARKS
    To see the examples, type: "Get-Help Get-Process -Examples"
    For more information, type: "Get-Help Get-Process -Detailed"
    For technical information, type: "Get-Help Get-Process -Full"
    For online help, type: "Get-Help Get-Process -Online"

PS C:\Users\David> Get-Process [-Name]
PS C:\Users\David> Get-Process

 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     11     1.63      11.48       0.06   10320   0 Aac3572DramHal_x86
     13     2.28      12.65       0.14    7804   1 Aac3572MbHal_x86
     13     2.49      12.61      48.33   10200   0 Aac3572MbHal_x86
     10     1.88      12.31       0.30    8620   0 AacKingstonDramHal_x64
     12     1.76      11.53       0.25    2384   0 AacKingstonDramHal_x86
     41    52.59      16.14       6.77   11804   1 AcPowerNotification
     27    23.68      49.85       9.16   14784   1 AdobeCollabSync
     20     7.31      27.57       0.05   20012   1 AdobeCollabSync
     14     4.09      18.14       0.30    9812   0 AggregatorHost
     21    12.82      47.42       0.48   24268   1 AppActions
     30    58.64      60.63       0.44   23272   1 ApplicationFrameHost
     55    62.18      97.66      33.97    4644   0 ArmouryCrate.Service
     57    44.38      90.50      31.42   12140   1 ArmouryCrate.UserSessionHelper
     22     9.92       0.86       0.11    2140   1 ArmourySocketServer
     24    15.76       1.20       0.53    7472   1 ArmourySwAgent
     10     1.80       8.04       0.00    4628   0 armsvc
     11     3.04      12.73       0.20    2500   0 AsusCertService
     20     3.70      18.18       1.58    4756   0 AsusFanControlService
     33    30.86       7.01       0.88    2312   1 asus_framework
     27    25.97       6.88       0.22    9864   1 asus_framework
     35    49.52       6.54       1.17   10564   1 asus_framework
    103   104.32      17.98       2.52   19100   1 asus_framework
     22    15.44       9.99       0.48   19260   1 asus_framework
     37    31.45       6.59       0.50   19332   1 asus_framework
     17     7.75      20.71       1.53    4684   0 atkexComSvc
     13     7.32      16.62      10.11   22152   0 audiodg
     20    23.68      61.66       0.25   24460   1 backgroundTaskHost
     37   194.80     117.62       3.77    1380   1 ChatGPT
     52   129.09     176.29      11.95    9076   1 ChatGPT
     27    18.25      60.42       1.61   10812   1 ChatGPT
     12    10.67      34.91       0.02   21920   1 ChatGPT
     34   139.02     216.49       7.64   22616   1 ChatGPT
     27    66.68      96.33       0.44    7940   1 chrome
     33    83.76     134.54       1.09   16560   1 chrome
     32    56.21      97.77       0.64   18320   1 chrome
     32   108.22     158.27       1.89   21384   1 chrome
     19    18.25      32.96       0.08   21916   1 chrome
     23    33.49      77.96       0.31   22712   1 chrome
     24    25.89      52.91       0.34   24072   1 chrome
     51   397.90     418.29     161.67   25424   1 chrome
     23    23.96      63.37       0.16   26164   1 chrome
     54   113.20     155.57       2.55   26512   1 chrome
     96   242.63     380.50      86.67   26916   1 chrome
     11     2.43       9.64       0.03   27024   1 chrome
     32    87.80     153.46       3.05   27032   1 chrome
     33   137.96     187.65       2.20   27036   1 chrome
     70   317.12     286.68     118.19   27228   1 chrome
     43    30.40      63.29      40.58   27248   1 chrome
     15    13.78      24.68       0.55   27400   1 chrome
     49   527.32     593.33     182.98   27548   1 chrome
     25    40.79      69.71       7.47   27568   1 chrome
     27    57.20      92.92       0.95   27672   1 chrome
     31    61.79      52.94       0.38   27844   1 chrome
     18     8.96      23.20       9.45   28192   1 chrome
     36   123.45     192.45      29.86   28996   1 chrome
     28    72.43     116.02       1.28   29000   1 chrome
     32   128.69     183.68       3.55   29032   1 chrome
